0	10000	143	10000	330	237	306	10000	55	16	10000	14	10000	10000	23	23	10000	37	10000	10000	10000	26	10000	10000	19	10000	10000	10000	10000	10000	10000	10000	27	64	42	21	10000	10000	158	10000	10000	158	10000	10000	10000	89	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	111	139	10000	10000	10000	94	119	102	89	10000	10000	145	123	168	10000	10000	140	143	10000	10000	87	10000	86	125	10000	10000	10000	179	196	241	183	205	243	180	218	218	10000	222	10000	10000	10000	10000	299	10000
10000	0	10000	10000	341	250	10000	115	88	10000	33	10000	10000	10000	10000	10000	55	61	10000	10000	41	19	10000	10000	10000	10000	92	10000	58	34	10000	10000	10000	67	70	10000	10000	202	10000	10000	10000	10000	139	188	10000	10000	10000	10000	10000	10000	10000	213	10000	114	10000	121	10000	164	10000	177	10000	112	10000	114	100	10000	128	144	10000	10000	10000	10000	10000	10000	78	10000	84	10000	88	10000	10000	10000	225	10000	186	10000	187	193	10000	172	10000	10000	10000	212	10000	314	10000	10000	10000	10000
143	10000	0	10000	200	117	10000	31	10000	10000	10000	137	10000	10000	123	156	146	10000	10000	10000	10000	10000	10000	76	10000	10000	10000	10000	10000	10000	10000	106	169	10000	10000	10000	110	10000	10000	201	200	10000	10000	10000	10000	10000	10000	162	10000	215	10000	10000	10000	10000	10000	10000	63	112	10000	36	14	10000	115	10000	59	10000	87	15	10000	24	10000	10000	73	10000	10000	10000	10000	10000	58	10000	10000	10000	10000	72	74	10000	10000	10000	10000	10000	10000	74	60	10000	10000	10000	190	10000	155	123
10000	10000	10000	0	10000	10000	223	10000	302	10000	10000	10000	10000	10000	245	10000	10000	10000	10000	253	235	10000	240	10000	10000	10000	10000	10000	10000	10000	10000	240	10000	204	10000	10000	10000	10000	10000	10000	10000	370	10000	10000	10000	259	342	293	334	345	311	10000	279	10000	10000	276	10000	10000	10000	137	10000	210	10000	10000	10000	10000	10000	10000	147	10000	10000	194	135	10000	10000	106	10000	10000	185	10000	185	162	10000	10000	10000	10000	10000	10000	32	10000	61	10000	76	10000	10000	10000	10000	10000	75	50
330	341	200	10000	0	10000	57	10000	10000	10000	10000	10000	303	10000	10000	10000	10000	10000	335	10000	10000	10000	10000	264	10000	10000	274	10000	10000	10000	10000	281	10000	273	10000	316	306	10000	10000	10000	10000	10000	10000	332	10000	267	10000	255	10000	10000	330	10000	10000	305	354	281	10000	10000	10000	10000	10000	237	238	228	10000	220	10000	207	10000	179	214	10000	10000	10000	297	239	10000	10000	10000	10000	10000	271	216	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	205	10000	10000	10000	10000	123	10000
237	250	117	10000	10000	0	10000	10000	237	10000	10000	235	210	232	222	10000	10000	263	243	216	10000	10000	225	10000	10000	10000	10000	10000	10000	10000	249	10000	264	183	10000	10000	10000	10000	278	10000	10000	259	10000	10000	10000	10000	10000	10000	10000	291	10000	148	167	211	10000	187	126	125	10000	10000	103	143	10000	10000	10000	130	137	10000	147	10000	140	10000	10000	10000	10000	174	10000	10000	164	10000	227	10000	10000	10000	10000	10000	10000	10000	142	10000	10000	100	10000	10000	106	214	184	134	10000	126
306	10000	10000	223	57	10000	0	10000	299	322	295	306	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	320	245	10000	10000	10000	10000	254	10000	256	10000	10000	288	10000	10000	219	210	301	10000	286	196	10000	10000	10000	338	10000	10000	181	217	269	10000	10000	10000	10000	10000	10000	178	10000	202	207	10000	203	10000	203	221	10000	10000	10000	10000	231	10000	10000	10000	10000	238	247	302	10000	238	10000	10000	10000	10000	10000	10000	10000	184	164	10000	10000	10000	10000	213	186	10000	10000
10000	115	31	10000	10000	10000	10000	0	139	10000	10000	10000	10000	113	91	10000	10000	10000	10000	10000	80	10000	10000	10000	94	134	10000	10000	10000	88	129	10000	10000	10000	10000	105	79	10000	10000	10000	10000	10000	10000	10000	10000	100	10000	149	172	10000	148	164	130	132	10000	10000	10000	105	39	10000	39	10000	101	33	10000	10000	71	10000	10000	10000	10000	68	68	49	10000	10000	32	43	26	47	10000	10000	138	85	10000	130	10000	10000	10000	77	107	10000	86	10000	89	221	219	10000	186	153
55	88	10000	302	10000	237	299	139	0	10000	10000	69	50	10000	10000	10000	33	10000	75	10000	75	10000	10000	93	10000	10000	10000	10000	71	72	10000	10000	64	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	150	10000	36	10000	10000	116	120	10000	10000	169	100	10000	10000	107	132	100	174	10000	191	10000	10000	183	10000	149	206	10000	139	117	165	160	10000	275	218	10000	268	10000	10000	274	10000	10000	10000	225	10000	10000	360	358	10000	10000	10000
16	10000	10000	10000	10000	10000	322	10000	10000	0	10000	10000	45	10000	34	11	10000	10000	10000	10000	45	30	10000	10000	10000	10000	10000	59	10000	10000	10000	10000	10000	77	10000	10000	50	10000	10000	10000	207	10000	113	10000	10000	104	10000	10000	10000	10000	82	10000	141	92	91	10000	10000	10000	10000	10000	10000	10000	10000	117	10000	10000	10000	157	134	181	163	10000	147	153	10000	174	10000	10000	99	133	111	10000	246	10000	10000	253	10000	213	10000	190	10000	230	206	10000	10000	10000	10000	10000	311	10000
