0	33	143	268	330	10000	10000	112	55	16	13	14	10000	10000	23	10000	10000	37	20	20	32	26	10000	10000	10000	24	10000	10000	42	25	19	52	27	64	10000	10000	43	168	158	10000
33	0	146	259	341	250	322	115	10000	27	33	10000	56	10000	30	10000	55	61	10000	10000	41	19	25	78	31	10000	92	10000	58	10000	47	10000	34	67	10000	10000	10000	202	191	220
143	146	0	137	200	117	192	10000	167	10000	130	137	123	144	123	156	146	178	142	125	111	129	122	76	125	165	110	97	10000	120	10000	106	169	79	176	136	10000	205	10000	201
268	259	137	0	10000	172	223	10000	302	10000	254	258	10000	272	245	10000	276	10000	261	253	10000	247	240	208	248	292	246	222	232	243	287	240	289	204	306	266	227	338	384	10000
330	341	200	10000	0	10000	57	227	332	10000	10000	328	10000	326	314	10000	325	358	335	10000	302	323	316	264	10000	347	10000	288	288	310	10000	10000	358	273	352	316	306	294	367	10000
10000	250	117	172	10000	0	10000	140	10000	10000	10000	235	210	232	222	10000	231	10000	10000	10000	210	231	225	10000	223	253	179	10000	10000	218	10000	187	264	10000	257	222	10000	210	278	189
10000	322	192	223	57	10000	0	215	299	322	10000	306	278	299	10000	10000	297	329	10000	285	281	303	297	10000	294	10000	10000	268	266	10000	10000	254	333	256	322	289	10000	10000	322	219
112	115	10000	10000	227	140	215	0	10000	10000	10000	105	10000	113	91	10000	116	147	111	94	10000	98	10000	46	94	134	10000	10000	10000	88	129	77	137	48	146	105	79	190	223	10000
55	10000	167	302	332	10000	299	10000	0	10000	62	69	10000	42	10000	73	33	10000	75	10000	75	10000	10000	10000	68	41	10000	10000	71	72	10000	61	64	10000	28	41	10000	120	10000	144
16	27	10000	10000	10000	10000	322	10000	10000	0	27	20	45	27	10000	10000	10000	10000	18	36	10000	10000	37	82	31	10000	81	59	57	36	19	68	12	77	42	10000	10000	180	10000	10000
13	33	130	254	10000	10000	10000	10000	62	27	0	12	23	10000	10	31	10000	51	10000	10000	19	10000	20	10000	10000	37	59	10000	10000	10000	10000	10000	39	51	54	10000	31	169	10000	186
14	10000	137	258	328	235	306	105	69	20	12	0	35	10000	14	20	10000	50	10000	24	26	12	10000	10000	12	37	10000	10000	40	17	10000	55	32	57	10000	31	31	10000	10000	10000
10000	56	123	10000	10000	210	278	10000	10000	45	23	35	0	10000	10000	52	23	10000	10000	10000	27	40	39	10000	26	43	36	34	10000	10000	39	10000	10000	50	10000	12	10000	147	150	163
10000	10000	144	272	326	232	299	113	42	27	10000	10000	10000	0	10000	36	10000	34	34	18	37	38	40	67	10000	10000	10000	49	10000	10000	17	10000	35	67	34	10000	51	10000	145	10000
23	30	123	245	314	222	10000	91	10000	10000	10	14	10000	10000	0	10000	10000	61	21	19	12	11	10000	50	10000	47	62	26	10000	10000	10000	46	46	10000	10000	10000	10000	10000	176	193
10000	10000	156	10000	10000	10000	10000	10000	73	10000	31	20	52	36	10000	0	44	44	13	10000	10000	27	34	84	32	34	88	10000	10000	37	10000	10000	16	76	53	44	47	191	175	211
10000	55	146	276	325	231	297	116	33	10000	10000	10000	23	10000	10000	44	0	32	10000	23	43	46	10000	70	35	22	52	54	44	10000	19	44	41	72	30	10000	59	147	137	167
37	61	178	10000	358	10000	329	147	10000	10000	51	50	10000	34	61	44	32	0	51	52	69	62	10000	10000	10000	13	84	83	75	62	18	77	10000	101	12	10000	80	160	134	10000
20	10000	142	261	335	10000	10000	111	75	18	10000	10000	10000	34	21	13	10000	51	0	33	33	13	20	10000	20	39	10000	47	10000	25	35	10000	28	63	59	39	10000	188	178	10000
20	10000	125	253	10000	10000	285	94	10000	36	10000	24	10000	18	19	10000	23	52	33	0	20	10000	29	49	16	10000	10000	31	22	17	10000	31	48	49	10000	13	37	157	157	10000
32	41	111	10000	302	210	281	10000	75	10000	19	26	27	37	12	10000	43	69	33	20	0	22	17	37	14	56	55	14	17	10000	51	37	57	32	72	34	18	172	177	186
26	19	129	247	323	231	303	98	10000	10000	10000	12	40	38	11	27	46	62	13	10000	22	0	10000	59	10000	49	74	34	38	10000	44	57	42	49	68	40	20	187	183	10000
10000	25	122	240	316	225	297	10000	10000	37	20	10000	39	40	10000	34	10000	10000	20	29	17	10000	0	53	13	54	10000	28	10000	12	10000	54	10000	43	10000	10000	13	187	10000	202
10000	78	76	208	264	10000	10000	46	10000	82	10000	10000	10000	67	50	84	70	10000	10000	49	37	59	53	0	10000	88	45	24	26	46	10000	33	94	17	100	59	45	10000	185	171
